Unnamed: 0,user_name,date,text,Sentiment
28,309ssi.eth,2022-06-24 08:28:59+00:00,nonton mr bean inget suka kesel jembek nek awak nontok film ikulapo nontok film ngunu,Negative
29,Gabriel Forger,2022-06-24 08:28:49+00:00,mixtapejedan berani berani nontonnya orang pas siang film nya setan nya,Negative
30,มันฝรั่ง | Potaaaa | Kentangggg,2022-06-24 08:28:48+00:00,nonton film cosplay bkpp tau vampire udeh wkwkwkwkwk,Negative
31,izzy,2022-06-24 08:28:35+00:00,gacape nonton film nonton menit cringe banget,Positive
32,diva ♡,2022-06-24 08:28:23+00:00,jinyoung cium melulu drama bagus film gtu,Negative
33,Cela,2022-06-24 08:28:16+00:00,jpwarksungg sbmptnfess televisi amp film,Neutral
34,Strawberry Sweater Man,2022-06-24 08:28:07+00:00,strategibisnis film bagus reviewer film,Negative
35,Cutie Pie,2022-06-24 08:28:05+00:00,danieldokter shooter gila sih film ulang kali nonton mola gapernah bosen glossiebabyzz,Negative
36,🇮🇩RebornXXX Bang Mara🇮🇩,2022-06-24 08:27:59+00:00,kayak lebih film rambo,Negative
37,Rohit Jena,2022-06-24 08:27:58+00:00,duttsanjay vaaniofficial karanmalhotra yrf tilak tika lagana film me jaruri tha kya,Neutral
38,Miss Zubir,2022-06-24 08:27:52+00:00,kelar nonton doctor strange film suka om ben alesan nontonnya lihat karakter konyol keluh tangan muter ajapen nulis dapat w film review komen ala netijen abai manatau spoiler,Neutral
39,sudah booster,2022-06-24 08:27:35+00:00,koinbukanreceh noviavetty p huruf r huruf i huruf huruf prik teman inisial ii idiotingat film india idiotsapakah korelasi,Neutral
40,𖧷eporue✘,2022-06-24 08:27:24+00:00,harap nonton tu film bareng tu orang bahas canda hubung film ketawa nyembuyiin sakit hati,Neutral
41,𖧷eporue✘,2022-06-24 08:27:24+00:00,sakit hati banget janji nonton film film release ngajak nonton tu film pergi nonton duluan orang kasih nonton tu film,Neutral
42,Josh_,2022-06-24 08:27:24+00:00,sigercep moviemenfes prtma promo nya prkara promo bgus film promosiin gratis mulut mulut sosmed film tayang nya cmna mikat tonton,Positive
43,Krisandryka Wijaya,2022-06-24 08:27:14+00:00,taylorswift rilis carolina soundtrack film where the crawdads sing adaptasi buku ikut baca diskusiin buku ayo,Positive
44,nano,2022-06-24 08:27:10+00:00,all i sayang is basketball players actjarang film sepakbola benerbener tarik amp serius trilogy goal ngebahas santi muneztapi basket baseball american football bikin film tarik,Neutral
45,Dazzlee,2022-06-24 08:27:04+00:00,convomf stok film habis,Negative
46,🌌🌸🌌,2022-06-24 08:26:43+00:00,rkras wkwkwk film iya suka,Positive
47,Rei kashino,2022-06-24 08:26:38+00:00,moviemenfes the holiday ish nak kali film rewatch bagus kali,Negative
48,Katie,2022-06-24 08:26:38+00:00,nonton film park chanwook bioskop please dont jinx this,Negative
49,Shaf🌿`🎪 cek pinned,2022-06-24 08:26:33+00:00,nonton film horror bioskop film nya kasih lihat trailer film horror jantung duluan nonton film asli nya,Positive
